File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors\Parsing.rsc,52,36,6,5,8,0,8,22,8,22
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\DataStructures.rsc,48,30,12,0,9,0,9,35,9,35
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\ParserAPI.rsc,33,21,12,2,3,0,9,27,9,27
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Grammar.rsc,227,190,93,25,28,0,9,31,9,31
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Project.rsc,154,118,66,20,12,0,24,117,9,31
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData\Recipe.rsc,58,41,22,6,8,0,9,31,9,31
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\alphabet\AST.rsc,44,19,10,0,10,1,15,42,9,32
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\alphabet\Syntax.rsc,73,42,13,0,16,0,15,43,9,37
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\grammar\AST.rsc,93,57,19,0,21,0,15,38,9,32
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\grammar\Syntax.rsc,141,87,28,0,32,0,22,51,9,34
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\project\AST.rsc,84,54,20,0,15,0,15,38,9,32
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\project\Syntax.rsc,117,72,19,0,24,0,21,49,9,35
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\recipe\AST.rsc,51,27,7,0,9,0,15,38,9,32
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\recipe\Syntax.rsc,94,53,13,0,19,3,22,83,9,38
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\AllTests.rsc,25,12,6,4,3,0,10,39,10,39
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Alphabet.rsc,84,60,29,13,11,5,13,58,8,29
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Grammar.rsc,96,71,31,18,12,7,13,60,8,29
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\ParsingTest.rsc,39,33,22,4,3,0,3,30,0,0
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Project.rsc,96,71,31,18,12,7,13,60,8,29
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing\Recipe.rsc,90,66,30,16,11,6,13,59,8,29
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util\string.rsc,26,21,10,5,5,0,0,0,0,0
